Species,POINT_X,POINT_Y
bias,-72.856441,42.319678
bias,-72.852251,42.316308
bias,-72.851461,42.316138
bias,-72.870522,42.292699
bias,-72.869541,42.292909
bias,-72.861511,42.308579
bias,-72.862711,42.312668
bias,-72.859601,42.293529
bias,-72.691246,42.179282
bias,-72.691806,42.179142
bias,-72.160672,42.180703
bias,-72.689906,42.180422
bias,-72.6928,42.1788
bias,-72.696246,42.178002
bias,-72.697076,42.179182
bias,-72.695876,42.178182
bias,-72.696476,42.178942
bias,-72.696056,42.179142
bias,-72.694386,42.179182
bias,-72.65139,42.24271
bias,-72.64907,42.24912
bias,-72.64884,42.2495
bias,-72.64852,42.24926
bias,-72.64852,42.24888
bias,-72.6487,42.24881
bias,-72.64977,42.2451
bias,-72.659795,41.503035
bias,-72.649485,42.249391
bias,-72.683983,41.537598
bias,-72.65037,42.2469
bias,-72.650275,42.247731
bias,-72.714163,41.569581
bias,-72.652125,42.240741
bias,-72.65125,42.2404
bias,-72.716845,41.568697
bias,-72.6494,42.24618
bias,-72.648785,42.247181
bias,-72.659609,41.501091
bias,-72.653275,42.198842
bias,-72.655175,42.194752
bias,-72.656503,41.549404
bias,-72.656095,42.197382
bias,-72.683497,41.531862
bias,-72.657445,42.199322
bias,-72.654385,42.201472
bias,-72.650915,42.203892
bias,-72.651005,42.201402
bias,-72.662584,41.502997
bias,-72.652615,42.202082
bias,-72.653455,42.205192
bias,-72.682339,41.530625
bias,-72.652435,42.208722
bias,-72.660471,41.587314
bias,-72.650495,42.211872
bias,-72.646925,42.214402
bias,-72.742462,41.632669
bias,-72.655215,42.206722
bias,-72.647295,42.222501
bias,-72.741764,41.52994
bias,-72.652525,42.218241
bias,-72.660537,41.58829
bias,-72.645495,42.221601
bias,-72.377031,42.679529
bias,-72.2144,43.0205
bias,-72.21688,43.01616
bias,-72.1309,43.06071
bias,-72.13658,43.06245
bias,-72.13856,43.06563
bias,-72.12693,43.02466
bias,-72.12711,43.02583
bias,-72.12693,43.02506
bias,-71.53041,41.37763
bias,-71.52561,41.37731
bias,-71.524504,41.458435
bias,-71.596217,41.472761
bias,-71.585846,41.465861
bias,-73.4491,41.8605
bias,-72.396753,42.704806
bias,-72.374531,42.691751
bias,-72.414809,42.70314
bias,-72.443698,42.669529
bias,-72.366475,42.713695
bias,-72.371752,42.632586
bias,-72.379808,42.68064
bias,-72.45246,42.86746
bias,-72.40448,42.91466
bias,-72.44886,42.87276
bias,-72.4679,42.97455
bias,-72.42441,42.9724
bias,-72.46956,42.97156
bias,-72.29638,42.94505
bias,-72.468793,42.969841
bias,-72.47631,42.93683
bias,-72.47483,42.93678
bias,-72.45183,42.97188
bias,-72.4503,42.97276
bias,-73.4491,41.8625
bias,-72.498977,42.708417
bias,-72.498977,42.707028
bias,-72.444532,42.67064
bias,-72.445921,42.718886
bias,-72.310085,42.681752
bias,-72.295085,42.66203
bias,-72.12321,43.02835
bias,-72.17088,43.00019
bias,-72.16238,43.00121
bias,-72.42761,42.84655
bias,-72.687222,42.433611
bias,-72.714722,42.457778
bias,-72.743333,42.489722
bias,-72.446754,42.719806
bias,-72.446754,42.71925
bias,-72.445921,42.719806
bias,-72.53145,41.37785
bias,-72.6596,41.5474
bias,-71.587006,41.463712
bias,-71.645898,41.559822
bias,-71.586729,41.477323
bias,-71.5839,41.4575
bias,-72.711111,42.381389
bias,-72.706944,42.435278
bias,-72.688889,42.434444
bias,-72.733333,42.492222
bias,-72.741667,42.488056
bias,-72.736111,42.495278
bias,-71.55808,41.15175
bias,-71.5624,41.2042
bias,-72.6023,41.1618
bias,-73.367682,42.024392
bias,-73.501998,41.326495
bias,-73.26046,41.646196
bias,-73.25941,41.642016
bias,-72.697446,42.179572
bias,-72.695176,42.179812
bias,-72.77783,41.86188
bias,-72.77168,41.87786
bias,-72.78051,41.86025
bias,-72.7801,41.86301
bias,-72.77873,41.8621
bias,-72.77935,41.86775
bias,-72.7778,41.86525
bias,-72.77766,41.86281
bias,-72.77841,41.86386
bias,-72.77863,41.86356
bias,-72.7796,41.86566
bias,-72.77943,41.86526
bias,-72.79511,41.75003
bias,-72.80065,41.77111
bias,-72.79716,41.75775
bias,-72.79873,41.7736
bias,-72.79936,41.78655
bias,-72.7986,41.77523
bias,-72.647205,42.220881
bias,-72.775791,43.867515
bias,-72.767261,43.878825
bias,-72.678956,43.772067
bias,-72.763511,43.878855
bias,-72.728338,43.788346
bias,-72.727628,43.789316
