"","X","Route.Point","detN","site","POINT","WMA","grass250m","grass500m","grass1km","grass1.5km","grass2km","grass2.5km","grass3km","grass3.5m","grass4km","grass4.5km","grass5km","trees250m","trees500m","trees1km","trees1.5km","trees2km","trees2.5km","trees3km","trees3.5km","trees4km","trees4.5km","trees5km","Occur"
"142",142,"JM.7.7",0,"JM.7",7,"JM",0.652174,0.495006,0.368276,0.392097,0.382861,0.47689,0.515835,0.515646,0.522225,0.530001,0.518669,0.0237154,0.045505,0.022069,0.010325,0.00618205,0.00451814,0.00369227,0.0067937,0.0174642,0.0258485,0.026277,0
"143",143,"JM.8.8",2,"JM.8",8,"JM",0.426877,0.480577,0.361379,0.360739,0.436368,0.49808,0.534647,0.5307,0.53742,0.537514,0.525529,0,0,0.0162759,0.010325,0.0057557,0.0043826,0.00391508,0.00774761,0.0138118,0.0217456,0.0265396,1
"144",144,"JM.9.9",0,"JM.9",9,"JM",0.818182,0.590455,0.411862,0.405226,0.42173,0.497673,0.533119,0.532538,0.533572,0.536042,0.519742,0,0.0188679,0.0182069,0.010325,0.0057557,0.0043826,0.00439253,0.00856192,0.0158331,0.0238819,0.0267108,0
"145",145,"KISS.1.1",0,"KISS.1",1,"KISS",0.774704,0.521643,0.445517,0.402932,0.373339,0.327701,0.3077,0.304623,0.299551,0.286131,0.286182,0,0.00110988,0.00193103,0.00688337,0.00625311,0.0043826,0.00512461,0.00414136,0.00508856,0.00800781,0.00915473,0
"146",146,"KISS.2.2",0,"KISS.2",2,"KISS",0.577075,0.357381,0.191172,0.246272,0.330491,0.346812,0.346691,0.333101,0.319746,0.305259,0.297392,0.0237154,0.0233074,0.00855172,0.00752071,0.00611099,0.00677721,0.00700258,0.00977176,0.00884736,0.00916795,0.00930312,0
"147",147,"KISS.3.3",0,"KISS.3",3,"KISS",0.699605,0.486127,0.241655,0.228553,0.288922,0.305426,0.313143,0.310393,0.29886,0.288819,0.281685,0.0118577,0.0099889,0.00634483,0.00854047,0.00739004,0.00600913,0.00980361,0.010051,0.00918423,0.00887084,0.0101821,0
"148",148,"KISS.4.4",0,"KISS.4",4,"KISS",0.343874,0.330744,0.419034,0.5058,0.451432,0.432476,0.411465,0.372467,0.355348,0.336399,0.328041,0.0197628,0.0099889,0.00634483,0.00356915,0.00518724,0.00614467,0.00544291,0.00462995,0.00661336,0.00734285,0.00792192,0
"149",149,"KISS.5.5",0,"KISS.5",5,"KISS",0.750988,0.536071,0.344,0.352071,0.300931,0.277595,0.27275,0.282194,0.288399,0.27501,0.271788,0.00790514,0.00221976,0.0022069,0.0096877,0.00611099,0.00519586,0.00448802,0.00458342,0.00840411,0.00875766,0.00888077,0
"150",150,"KISS.6.6",0,"KISS.6",6,"KISS",0.442688,0.413984,0.318069,0.268834,0.269168,0.28008,0.294713,0.29762,0.285491,0.282537,0.274185,0,0.00332963,0.00662069,0.00688337,0.00724792,0.0063254,0.00735271,0.00984156,0.00907785,0.0092104,0.00978255,0
"151",151,"KISS.7.7",0,"KISS.7",7,"KISS",0.268775,0.206437,0.306483,0.393881,0.400341,0.406904,0.39154,0.364766,0.343735,0.325292,0.318429,0.0474308,0.0255272,0.00717241,0.00535373,0.00518724,0.00646094,0.00547474,0.0054908,0.00831546,0.007739,0.00804749,0
"152",152,"KISS.8.8",0,"KISS.8",8,"KISS",0.395257,0.358491,0.305931,0.227406,0.23236,0.263769,0.272368,0.279123,0.274357,0.271204,0.265031,0,0.00332963,0.00662069,0.008413,0.00724792,0.00605431,0.0108222,0.0105861,0.00937927,0.0104837,0.0103305,0
"153",153,"KISS.9.9",0,"KISS.9",9,"KISS",0.509881,0.406215,0.400276,0.350032,0.308605,0.29639,0.300793,0.302715,0.298186,0.287362,0.279733,0,0,0.008,0.008413,0.00689263,0.00564768,0.00464717,0.00744515,0.00874098,0.00843225,0.00916614,0
"154",154,"KNOSP.1.1",1,"KNOSP.1",1,"KNOSP",0.766798,0.756937,0.736276,0.74557,0.751936,0.716125,0.717923,0.719597,0.69919,0.69658,0.69423,0,0,0.00689655,0.0121096,0.0245861,0.0365066,0.0330394,0.0300598,0.0323753,0.0337856,0.0317105,1
"155",155,"KNOSP.2.2",2,"KNOSP.2",2,"KNOSP",0.889328,0.769145,0.724414,0.762524,0.775812,0.730403,0.728873,0.703823,0.688587,0.696114,0.693853,0,0,0.00110345,0.00879541,0.0213174,0.0331631,0.030493,0.0299435,0.032198,0.030574,0.0327835,1
"156",156,"KNOSP.3.3",2,"KNOSP.3",3,"KNOSP",1,0.993341,0.869241,0.769152,0.730193,0.736005,0.735907,0.703776,0.698551,0.700726,0.698704,0,0,0.00882759,0.0214149,0.0492432,0.0341571,0.0336124,0.0342244,0.0322867,0.0329084,0.0336282,1
"157",157,"KNOSP.4.4",3,"KNOSP.4",4,"KNOSP",1,0.993341,0.860965,0.781134,0.766645,0.753174,0.728045,0.691026,0.689491,0.698731,0.696673,0,0,0,0.00892288,0.0338236,0.0328921,0.0296018,0.0329913,0.031737,0.0322718,0.0325895,1
"158",158,"KNOSP.5.5",4,"KNOSP.5",5,"KNOSP",1,0.865705,0.709241,0.793117,0.797413,0.757105,0.715568,0.678951,0.682984,0.688643,0.697278,0,0,0,0.00114723,0.00739004,0.0282384,0.0255912,0.0302925,0.0311697,0.029909,0.0291193,1
"159",159,"KNOSP.6.6",3,"KNOSP.6",6,"KNOSP",1,1,0.915862,0.819503,0.798053,0.762572,0.697234,0.675461,0.690289,0.697939,0.698362,0,0,0,0.00229445,0.0168408,0.0312655,0.0313206,0.0316884,0.0315243,0.0315219,0.0302038,1
"160",160,"KNOSP.7.7",5,"KNOSP.7",7,"KNOSP",0.687747,0.602664,0.685241,0.762524,0.792653,0.754484,0.70917,0.680859,0.676034,0.679956,0.696901,0,0,0,0,0.00291338,0.00885556,0.0220581,0.0229869,0.0295739,0.0278576,0.0281719,1
"161",161,"KNOSP.8.8",4,"KNOSP.8",8,"KNOSP",1,0.991121,0.821517,0.818356,0.818589,0.754349,0.69281,0.675368,0.685289,0.690624,0.699115,0,0,0,0,0.0030555,0.017937,0.025814,0.0280589,0.0306732,0.0307579,0.0291193,1
"162",162,"KNOSP.9.9",4,"KNOSP.9",9,"KNOSP",1,0.866815,0.807448,0.806628,0.79045,0.730493,0.690486,0.68279,0.67958,0.69194,0.701729,0,0,0,0,0.000213174,0.00397596,0.0167744,0.0246853,0.0268612,0.0282396,0.0269391,1
"163",163,"KOLB.1.1",3,"KOLB.1",1,"KOLB",1,0.965594,0.716965,0.635182,0.624174,0.618985,0.589362,0.594774,0.591869,0.607886,0.624816,0,0,0.00662069,0.00764818,0.00582676,0.00596395,0.00432887,0.00383891,0.00329781,0.00316917,0.00431482,1
"164",164,"KOLB.2.2",3,"KOLB.2",2,"KOLB",0.992095,0.90899,0.780138,0.680816,0.645491,0.613202,0.593532,0.594798,0.599085,0.613149,0.624222,0,0.00110988,0.000275862,0.00662843,0.00696369,0.00447296,0.00432887,0.00381564,0.00329781,0.00316917,0.00426916,1
"165",165,"KOLB.3.3",2,"KOLB.3",3,"KOLB",0.747036,0.755827,0.787862,0.663607,0.625027,0.595039,0.592291,0.599684,0.610769,0.621638,0.632076,0.00395257,0.00110988,0.00358621,0.00344168,0.00703475,0.00447296,0.00439253,0.00381564,0.00329781,0.00376339,0.00577593,1
"166",166,"KOLB.4.4",3,"KOLB.4",4,"KOLB",0.992095,0.944506,0.758345,0.626641,0.61181,0.601636,0.59837,0.59389,0.605025,0.617068,0.629838,0.00395257,0.00110988,0.00717241,0.008413,0.00675052,0.00447296,0.00471083,0.00381564,0.0029964,0.00348043,0.00557046,1
"167",167,"KOLB.5.5",4,"KOLB.5",5,"KOLB",1,0.983352,0.655448,0.596048,0.595893,0.616274,0.593055,0.59296,0.59217,0.610376,0.633389,0,0.00110988,0.00551724,0.00905035,0.00504512,0.00614467,0.00461534,0.00351318,0.00315597,0.00360776,0.00460019,1
"168",168,"KOLB.6.6",3,"KOLB.6",6,"KOLB",0.644269,0.679245,0.728276,0.649841,0.634264,0.613292,0.60028,0.58826,0.595415,0.602963,0.620718,0,0,0.00717241,0.00497132,0.0057557,0.00609949,0.00432887,0.00379237,0.00356377,0.00312672,0.00364134,1
"169",169,"KOLB.7.7",4,"KOLB.7",7,"KOLB",0.86166,0.799112,0.768,0.708604,0.654658,0.626395,0.59923,0.591913,0.597809,0.605198,0.620672,0,0,0.000275862,0.00586361,0.00689263,0.00474405,0.00432887,0.00381564,0.00368788,0.00314087,0.00333314,1
"170",170,"KOLB.8.8",3,"KOLB.8",8,"KOLB",0.84585,0.845727,0.760828,0.730911,0.672422,0.609633,0.597734,0.597334,0.604954,0.614394,0.625044,0,0.00110988,0.000275862,0.00777565,0.00682157,0.00447296,0.00416972,0.00381564,0.00320916,0.00336724,0.00499971,1
"171",171,"KOLB.9.9",3,"KOLB.9",9,"KOLB",0.83004,0.82131,0.764414,0.779477,0.705891,0.625265,0.605468,0.597404,0.600858,0.612626,0.622088,0,0,0.000275862,0.00726577,0.00561359,0.00442778,0.00413789,0.0039785,0.00342193,0.00326821,0.00431482,1
"172",172,"LEE.1.1",0,"LEE.1",1,"LEE",0.608696,0.618202,0.631448,0.618738,0.619413,0.599151,0.599357,0.607361,0.618571,0.600968,0.572867,0.150198,0.158713,0.134897,0.119312,0.107795,0.121945,0.132285,0.154603,0.151327,0.153521,0.157742,0
"173",173,"LEE.2.2",0,"LEE.2",2,"LEE",0.853755,0.794673,0.662345,0.658254,0.631777,0.637826,0.634465,0.629301,0.631053,0.602977,0.562708,0.00790514,0.0843507,0.150621,0.110771,0.123499,0.128451,0.125473,0.144273,0.147604,0.149644,0.16555,0
"174",174,"LEE.3.3",0,"LEE.3",3,"LEE",0.956522,0.790233,0.692966,0.653665,0.615363,0.620476,0.615909,0.614365,0.627985,0.606853,0.568735,0.0158103,0.0843507,0.143448,0.124665,0.117175,0.125424,0.137346,0.15672,0.148313,0.148781,0.164043,0
"175",175,"LEE.4.4",0,"LEE.4",4,"LEE",0.822134,0.765816,0.712552,0.67508,0.616784,0.598654,0.592323,0.601591,0.614776,0.598209,0.578757,0.0869565,0.1798,0.14069,0.11689,0.104029,0.131297,0.155871,0.162258,0.153384,0.157751,0.163392,0
"176",176,"LEE.5.5",0,"LEE.5",5,"LEE",0.786561,0.791343,0.751724,0.677502,0.643786,0.625808,0.629468,0.628813,0.616514,0.60176,0.572696,0.209486,0.143174,0.127724,0.127597,0.125844,0.152171,0.156762,0.154464,0.148348,0.15246,0.174499,0
"177",177,"LEE.6.6",0,"LEE.6",6,"LEE",0.893281,0.780244,0.722207,0.692033,0.614297,0.648669,0.641213,0.639655,0.634599,0.607943,0.565322,0.0118577,0.0477247,0.135724,0.119439,0.138847,0.131704,0.141038,0.145064,0.144501,0.150804,0.16692,0
"178",178,"LEE.7.7",0,"LEE.7",7,"LEE",0.932806,0.836848,0.72469,0.67355,0.624103,0.626305,0.616609,0.617529,0.623978,0.605693,0.571029,0.0592885,0.112098,0.149793,0.121096,0.117388,0.128812,0.153961,0.157139,0.148756,0.148611,0.168369,0
"179",179,"LEE.8.8",0,"LEE.8",8,"LEE",0.667984,0.801332,0.746483,0.675972,0.646557,0.605295,0.596747,0.605035,0.608305,0.595238,0.581417,0.264822,0.157603,0.145379,0.11638,0.110922,0.136674,0.171404,0.161257,0.154377,0.157298,0.168301,0
"180",180,"LEE.9.9",0,"LEE.9",9,"LEE",0.711462,0.72808,0.713931,0.685277,0.659774,0.66498,0.676258,0.675996,0.648836,0.605226,0.567068,0.162055,0.104329,0.0852414,0.146973,0.162226,0.161072,0.142534,0.125079,0.138916,0.164641,0.181177,0
"181",181,"MEDCNE.1.1",1,"MEDCNE.1",1,"MEDCNE",0.683794,0.501665,0.539034,0.492161,0.486535,0.515113,0.495019,0.508062,0.53749,0.552921,0.566977,0,0.045505,0.0866207,0.0711281,0.0570596,0.0487056,0.0594264,0.0668668,0.0621088,0.0668355,0.0661834,1
"182",182,"MEDCNE.2.2",2,"MEDCNE.2",2,"MEDCNE",0.731225,0.694784,0.58869,0.511791,0.52384,0.530565,0.534074,0.545474,0.559511,0.564353,0.576405,0.134387,0.195339,0.138207,0.119312,0.0937256,0.0862965,0.0843174,0.0777088,0.0807078,0.0781964,0.0768221,1
"183",183,"MEDCNE.3.3",2,"MEDCNE.3",3,"MEDCNE",1,0.870144,0.587862,0.494328,0.49229,0.502643,0.522042,0.532165,0.547668,0.555623,0.561726,0,0.0588235,0.139862,0.0994264,0.0872593,0.0740071,0.0748958,0.0788023,0.0784561,0.0753243,0.0764112,1
"184",184,"MEDCNE.4.4",0,"MEDCNE.4",4,"MEDCNE",0.766798,0.706992,0.631724,0.497132,0.51176,0.527764,0.522806,0.5431,0.551497,0.565583,0.577547,0.193676,0.244173,0.161103,0.109114,0.0945072,0.0806488,0.0828214,0.0793606,0.077605,0.0798234,0.0752468,0
"185",185,"MEDCNE.5.5",1,"MEDCNE.5",5,"MEDCNE",0.936759,0.769145,0.593103,0.508859,0.501599,0.509059,0.535061,0.537168,0.555238,0.558396,0.570219,0.0355731,0.0765816,0.103172,0.112683,0.0910964,0.0806488,0.0788108,0.0802215,0.0796085,0.0765835,0.0764454,1
"186",186,"MEDCNE.6.6",2,"MEDCNE.6",6,"MEDCNE",0.853755,0.607103,0.532414,0.538942,0.487032,0.487869,0.50339,0.513715,0.533288,0.549822,0.563929,0.0711462,0.195339,0.144,0.088209,0.0694948,0.0653323,0.0656651,0.0761965,0.0729065,0.0747443,0.0731922,1
"187",187,"MEDCNE.7.7",0,"MEDCNE.7",7,"MEDCNE",0.675889,0.487236,0.502345,0.544168,0.496767,0.483396,0.500111,0.503571,0.528466,0.551039,0.563655,0.118577,0.187569,0.121103,0.0847674,0.0633838,0.0594587,0.0660789,0.0724506,0.0701938,0.0715044,0.0715827,0
"188",188,"MEDCNE.8.8",0,"MEDCNE.8",8,"MEDCNE",0.667984,0.483907,0.510069,0.524665,0.49293,0.497809,0.491326,0.502012,0.530239,0.551747,0.565105,0.0434783,0.137625,0.101517,0.0817081,0.0580544,0.0522297,0.064933,0.0696122,0.0670378,0.0683918,0.0698019,0
"189",189,"MEDCNE.9.9",1,"MEDCNE.9",9,"MEDCNE",0.790514,0.654828,0.606621,0.521861,0.500391,0.508291,0.51453,0.528745,0.541639,0.559952,0.576497,0.205534,0.315205,0.155862,0.0985341,0.0818589,0.0744138,0.0741637,0.0790815,0.0760979,0.0791443,0.0738656,1
"190",190,"MEDCNW.1.1",3,"MEDCNW.1",1,"MEDCNW",0.976285,0.981132,0.921103,0.828553,0.760037,0.714589,0.706369,0.675554,0.673977,0.661451,0.639872,0,0.00221976,0.0446897,0.06297,0.0878988,0.0942936,0.0928797,0.0831065,0.0796262,0.0802337,0.0809657,1
"191",191,"MEDCNW.2.2",3,"MEDCNW.2",2,"MEDCNW",0.996047,0.993341,0.809655,0.746463,0.69914,0.694257,0.670465,0.634978,0.639138,0.63696,0.632247,0,0.00554939,0.0642759,0.101721,0.106232,0.101116,0.0966038,0.0851539,0.0784738,0.0809128,0.0813196,1
"192",192,"MEDCNW.3.3",2,"MEDCNW.3",3,"MEDCNW",0.988142,0.90566,0.87669,0.772976,0.755987,0.714002,0.682497,0.688118,0.683339,0.669119,0.651903,0.00790514,0.0754717,0.057931,0.101466,0.0978469,0.110559,0.0988,0.095042,0.082729,0.0795122,0.0779636,1
"193",193,"MEDCNW.4.4",3,"MEDCNW.4",4,"MEDCNW",0.968379,0.890122,0.721379,0.725175,0.702196,0.677585,0.654009,0.649333,0.646176,0.644841,0.636608,0.027668,0.0477247,0.122483,0.11587,0.118525,0.112592,0.106535,0.0905051,0.0826049,0.0790311,0.0776782,1
"194",194,"MEDCNW.5.5",0,"MEDCNW.5",5,"MEDCNW",0.798419,0.824639,0.766069,0.758317,0.722518,0.695477,0.695961,0.71064,0.697151,0.681782,0.669026,0.197628,0.105438,0.118069,0.141236,0.129326,0.109339,0.105866,0.101394,0.0937749,0.082172,0.0747332,0
"195",195,"MEDCNW.6.6",1,"MEDCNW.6",6,"MEDCNW",0.865613,0.915649,0.89931,0.838241,0.793576,0.764018,0.718178,0.705614,0.697328,0.678938,0.66414,0.0671937,0.0443951,0.0273103,0.0447419,0.0769559,0.090408,0.0917019,0.0841302,0.0803177,0.07988,0.0781805,1
"196",196,"MEDCNW.7.7",2,"MEDCNW.7",7,"MEDCNW",0.996047,0.935627,0.858483,0.750669,0.695872,0.699905,0.674444,0.634699,0.63045,0.628373,0.632795,0,0.063263,0.0623448,0.0986616,0.0962126,0.0910857,0.0856543,0.0815011,0.0803177,0.0834736,0.0792192,1
"197",197,"MEDCNW.8.8",1,"MEDCNW.8",8,"MEDCNW",0.932806,0.968923,0.941793,0.877884,0.786897,0.744544,0.718815,0.697308,0.686637,0.67284,0.643434,0.00790514,0.00332963,0.0226207,0.0325048,0.0690684,0.0855284,0.0875322,0.0795002,0.078917,0.0781398,0.0794019,1
"198",198,"MEDCNW.9.9",3,"MEDCNW.9",9,"MEDCNW",0.996047,0.925638,0.767448,0.731421,0.719889,0.681381,0.666741,0.679091,0.667506,0.659541,0.645477,0,0.0610433,0.126345,0.11689,0.115398,0.116478,0.106376,0.0979968,0.0851935,0.0783662,0.0763541,1
"199",199,"MEDCSE.1.1",0,"MEDCSE.1",1,"MEDCSE",0.482213,0.405105,0.52,0.494328,0.497691,0.44323,0.44721,0.455131,0.468963,0.498281,0.529947,0.252964,0.310766,0.178207,0.107457,0.085625,0.0788867,0.0840628,0.0792909,0.0792362,0.0797668,0.0814109,0
"200",200,"MEDCSE.2.2",0,"MEDCSE.2",2,"MEDCSE",0.44664,0.668146,0.594759,0.482728,0.452498,0.444766,0.460388,0.458714,0.481835,0.512825,0.531465,0.541502,0.263041,0.118069,0.101083,0.0773822,0.0741427,0.0755324,0.0755683,0.0803355,0.0835868,0.0785686,0
"201",201,"MEDCSE.3.3",0,"MEDCSE.3",3,"MEDCSE",0.928854,0.784684,0.57269,0.46501,0.428054,0.451859,0.46825,0.48326,0.502207,0.526719,0.541065,0.0711462,0.132075,0.096,0.101338,0.0878988,0.087426,0.077665,0.0749401,0.0813283,0.0833322,0.0788425,0
"202",202,"MEDCSE.4.4",1,"MEDCSE.4",4,"MEDCSE",0.754941,0.566038,0.505655,0.465264,0.433809,0.459721,0.470669,0.488541,0.506463,0.523974,0.545745,0.0790514,0.132075,0.122759,0.114595,0.100973,0.0912213,0.0840309,0.0813383,0.0801936,0.0834029,0.0780092,1
"203",203,"MEDCSE.5.5",3,"MEDCSE.5",5,"MEDCSE",1,0.876804,0.51669,0.429955,0.426135,0.474721,0.491581,0.500012,0.527047,0.536891,0.548587,0,0.0244173,0.106207,0.0870618,0.111277,0.0919442,0.0793201,0.0796864,0.0825517,0.0844357,0.0774727,1
"204",204,"MEDCSE.6.6",1,"MEDCSE.6",6,"MEDCSE",0.648221,0.576027,0.448552,0.426769,0.450011,0.48308,0.504281,0.504944,0.531976,0.542564,0.55159,0.0395257,0.0355161,0.105379,0.106565,0.117317,0.0956038,0.0828532,0.0871548,0.0818071,0.0795263,0.0762628,1
"205",205,"MEDCSE.7.7",1,"MEDCSE.7",7,"MEDCSE",0.826087,0.778024,0.451034,0.428043,0.460243,0.50436,0.520132,0.521067,0.538288,0.560066,0.5549,0.162055,0.0921199,0.0543448,0.122626,0.106587,0.0915827,0.078779,0.0825714,0.0845907,0.0808562,0.0787969,1
"206",206,"MEDCSE.8.8",1,"MEDCSE.8",8,"MEDCSE",0.442688,0.420644,0.385103,0.483493,0.509202,0.529165,0.551007,0.544078,0.556816,0.564353,0.57176,0.166008,0.104329,0.105655,0.111663,0.0971364,0.0875164,0.0819302,0.0866662,0.0849985,0.0790877,0.0784658,1
"207",207,"MEDCSE.9.9",1,"MEDCSE.9",9,"MEDCSE",0.782609,0.615982,0.505655,0.445762,0.483621,0.507975,0.52653,0.535469,0.548944,0.557335,0.562719,0.130435,0.107658,0.0582069,0.106692,0.0957863,0.0874712,0.0807206,0.078779,0.0824453,0.0829784,0.0804178,1
"208",208,"MEDCSW.1.1",0,"MEDCSW.1",1,"MEDCSW",0.956522,0.943396,0.904,0.830975,0.729198,0.69105,0.691441,0.680673,0.638251,0.631329,0.629291,0.0395257,0.0554939,0.0609655,0.0806883,0.0689974,0.0710252,0.0679568,0.0789651,0.0853708,0.0824974,0.077039,0
"209",209,"MEDCSW.2.2",0,"MEDCSW.2",2,"MEDCSW",0.754941,0.586016,0.483586,0.564818,0.616215,0.599738,0.618614,0.618971,0.614599,0.616219,0.604657,0.0474308,0.140954,0.0962759,0.0891013,0.0888936,0.101974,0.0945666,0.0848049,0.081417,0.0755932,0.071868,0
"210",210,"MEDCSW.3.3",1,"MEDCSW.3",3,"MEDCSW",0.869565,0.829079,0.646897,0.630338,0.667661,0.648534,0.643983,0.644448,0.636709,0.629872,0.612613,0.0948617,0.0788013,0.0841379,0.0702358,0.0840617,0.0873808,0.0839354,0.079919,0.0784029,0.0753809,0.0720621,1
"211",211,"MEDCSW.4.4",1,"MEDCSW.4",4,"MEDCSW",0.806324,0.924528,0.848276,0.73856,0.692034,0.691366,0.673903,0.646751,0.617188,0.623958,0.619177,0.193676,0.0677026,0.103172,0.0866794,0.0867619,0.0760403,0.0724767,0.080268,0.0867892,0.0823701,0.0772673,1
"212",212,"MEDCSW.5.5",0,"MEDCSW.5",5,"MEDCSW",0.55336,0.540511,0.590621,0.641555,0.645207,0.666109,0.64325,0.610549,0.610982,0.612017,0.605023,0.434783,0.335183,0.136552,0.105417,0.0714133,0.0624407,0.0807206,0.0899933,0.0850694,0.0803045,0.0761829,0
"213",213,"MEDCSW.6.6",0,"MEDCSW.6",6,"MEDCSW",0.600791,0.570477,0.615724,0.608031,0.66418,0.658655,0.630073,0.628952,0.618198,0.615936,0.606952,0.332016,0.253052,0.130759,0.0897387,0.072195,0.0728776,0.087023,0.0865266,0.081151,0.0796112,0.0754523,0
"214",214,"MEDCSW.7.7",1,"MEDCSW.7",7,"MEDCSW",0.928854,0.82131,0.762759,0.672148,0.681518,0.676772,0.66047,0.62288,0.61217,0.61479,0.612317,0.0513834,0.147614,0.136,0.0957298,0.0761742,0.0725613,0.0719356,0.0841767,0.0891296,0.082172,0.0763541,1
"215",215,"MEDCSW.8.8",0,"MEDCSW.8",8,"MEDCSW",0.56917,0.411765,0.405517,0.51383,0.566333,0.572132,0.602317,0.596775,0.603819,0.600345,0.600491,0.102767,0.130966,0.107586,0.100574,0.0843459,0.115032,0.0987045,0.0886671,0.0817716,0.074815,0.071343,0
"216",216,"MEDCSW.9.9",2,"MEDCSW.9",9,"MEDCSW",0.992095,0.99667,0.948965,0.842702,0.772188,0.743279,0.72343,0.700612,0.67763,0.657433,0.628606,0,0,0.00772414,0.0423199,0.0484616,0.0600009,0.0646147,0.0650753,0.0712399,0.072042,0.0727926,1
"217",217,"MER.1.1",1,"MER.1",1,"MER",0.616601,0.659267,0.658207,0.605226,0.557806,0.53436,0.534169,0.500826,0.47719,0.467905,0.453775,0.383399,0.324084,0.203586,0.165966,0.163931,0.163557,0.15985,0.158047,0.15271,0.148569,0.141887,1
"218",218,"MER.2.2",2,"MER.2",2,"MER",0.660079,0.63707,0.55669,0.532186,0.512613,0.514481,0.499889,0.503013,0.498555,0.482874,0.451196,0.316206,0.324084,0.243586,0.247546,0.220919,0.18669,0.162396,0.152277,0.151487,0.139854,0.136636,1
"219",219,"MER.3.3",0,"MER.3",3,"MER",0.55336,0.570477,0.663172,0.635946,0.615505,0.567162,0.525289,0.489356,0.460116,0.458822,0.455339,0.0158103,0.00665927,0.0728276,0.0810707,0.0977759,0.13586,0.138874,0.141714,0.144767,0.138057,0.138383,0
"220",220,"MER.4.4",1,"MER.4",4,"MER",0.482213,0.352941,0.480276,0.525685,0.517232,0.49564,0.510965,0.503874,0.49391,0.477823,0.452737,0.395257,0.45505,0.305103,0.252135,0.210048,0.188542,0.161696,0.16249,0.158667,0.148767,0.147868,1
"221",221,"MER.5.5",3,"MER.5",5,"MER",0.833992,0.788013,0.626759,0.535883,0.52114,0.524104,0.501576,0.498616,0.502473,0.477356,0.452383,0.158103,0.198668,0.212966,0.231358,0.219569,0.182443,0.160168,0.1523,0.142994,0.138962,0.134969,1
"222",222,"MER.6.6",2,"MER.6",6,"MER",0.944664,0.751387,0.673103,0.607138,0.572088,0.560114,0.535411,0.496545,0.469371,0.457195,0.456663,0.0355731,0.218646,0.178207,0.145443,0.14105,0.154746,0.162778,0.158884,0.152001,0.154341,0.142971,1
"223",223,"MER.7.7",5,"MER.7",7,"MER",0.928854,0.790233,0.676138,0.66144,0.586655,0.55171,0.526848,0.499826,0.469158,0.45885,0.456184,0.0434783,0.0510544,0.126069,0.109114,0.121296,0.152984,0.153484,0.14432,0.146132,0.141452,0.13941,1
"224",224,"MER.8.8",3,"MER.8",8,"MER",0.573123,0.704772,0.698759,0.618993,0.551268,0.520173,0.526339,0.504921,0.486374,0.471145,0.453422,0.426877,0.27636,0.176,0.154238,0.18198,0.166855,0.158895,0.150183,0.145902,0.140533,0.140095,1
"225",225,"MER.9.9",2,"MER.9",9,"MER",0.980237,0.861265,0.673103,0.628426,0.598309,0.565445,0.538244,0.492031,0.465736,0.45312,0.458319,0,0.0443951,0.134345,0.113576,0.116962,0.148873,0.153229,0.152044,0.147763,0.147748,0.140711,1
"226",226,"MILL.1.1",3,"MILL.1",1,"MILL",0.679842,0.644839,0.785379,0.849586,0.87103,0.860299,0.816851,0.751774,0.706991,0.695123,0.692175,0,0,0,0,0,0.000361451,0.00187796,0.00172169,0.00390064,0.00544701,0.0060613,1
"227",227,"MILL.2.2",2,"MILL.2",2,"MILL",0.960474,0.768036,0.84331,0.878521,0.892276,0.884155,0.838049,0.753612,0.718108,0.709568,0.694823,0,0,0,0,0,0,0.00200528,0.00167516,0.00569139,0.00612612,0.00970264,1
"228",228,"MILL.3.3",3,"MILL.3",3,"MILL",0.58498,0.660377,0.829241,0.865264,0.888581,0.882664,0.821848,0.748261,0.715218,0.707559,0.695417,0,0,0,0,0,4.51814e-05,0.00216443,0.00258254,0.00553182,0.00653641,0.00901775,1
"229",229,"MILL.4.4",3,"MILL.4",4,"MILL",0.770751,0.800222,0.864552,0.891013,0.907625,0.89292,0.816087,0.751448,0.728693,0.720434,0.697163,0,0,0,0,0,0.00031627,0.00210077,0.00544427,0.00718072,0.00734285,0.0161292,1
"230",230,"MILL.5.5",3,"MILL.5",5,"MILL",0.924901,0.920089,0.914483,0.923008,0.912243,0.862874,0.79979,0.760941,0.743427,0.722118,0.700211,0,0,0,0,0,0.000496995,0.00458351,0.00784067,0.00888282,0.0129596,0.0231265,1
"231",231,"MILL.6.6",3,"MILL.6",6,"MILL",0.924901,0.943396,0.964138,0.963799,0.928373,0.903764,0.857211,0.811591,0.764171,0.739859,0.713943,0,0,0,0,0,9.03628e-05,0.000286469,0.000395524,0.00482261,0.0134973,0.017967,1
"232",232,"MILL.7.7",3,"MILL.7",7,"MILL",0.960474,0.951165,0.963862,0.951944,0.928302,0.900014,0.857307,0.805077,0.764738,0.739378,0.714514,0,0,0,0,0,9.03628e-05,0.000413789,0.0014425,0.00620556,0.0149687,0.0182524,1
"233",233,"MILL.8.8",4,"MILL.8",8,"MILL",1,0.986681,0.967172,0.953728,0.931358,0.894818,0.841742,0.797003,0.761901,0.736393,0.706615,0,0,0,0,0,9.03628e-05,0.000413789,0.000325725,0.00338646,0.0120117,0.015353,1
"234",234,"MILL.9.9",3,"MILL.9",9,"MILL",1,0.961154,0.968828,0.96877,0.938961,0.883071,0.841519,0.803239,0.765518,0.73935,0.703807,0,0,0,0,0,0,6.36598e-05,0.000302459,0.00228719,0.00790877,0.0146681,1
