"","X","Route.Point","detN","site","POINT","WMA","grass250m","grass500m","grass1km","grass1.5km","grass2km","grass2.5km","grass3km","grass3.5m","grass4km","grass4.5km","grass5km","trees250m","trees500m","trees1km","trees1.5km","trees2km","trees2.5km","trees3km","trees3.5km","trees4km","trees4.5km","trees5km","Occur"
"73",73,"EVERS.1.1",2,"EVERS.1",1,"EVERS",0.541502,0.477248,0.450759,0.406756,0.413274,0.427732,0.429035,0.423769,0.433663,0.448437,0.461515,0.0948617,0.0899001,0.0866207,0.0850223,0.0938677,0.0822753,0.0799567,0.0725669,0.0680662,0.0640483,0.0725872,1
"74",74,"EVERS.2.2",1,"EVERS.2",2,"EVERS",0.640316,0.482797,0.446345,0.436711,0.417253,0.452898,0.42668,0.415765,0.421074,0.442948,0.454084,0.0118577,0.0643729,0.0708966,0.07355,0.0866198,0.0835856,0.0798294,0.0700542,0.0670555,0.0611338,0.0710233,1
"75",75,"EVERS.3.3",1,"EVERS.3",3,"EVERS",0.885375,0.63374,0.449379,0.413639,0.413842,0.44594,0.432123,0.421209,0.438343,0.454861,0.467964,0.0790514,0.054384,0.0811035,0.0771192,0.08328,0.078209,0.0732088,0.0699379,0.0654421,0.0639068,0.0681696,1
"76",76,"EVERS.4.4",1,"EVERS.4",4,"EVERS",0.73913,0.663707,0.49269,0.434672,0.418603,0.454751,0.436961,0.422047,0.444194,0.460746,0.471857,0.0474308,0.0288568,0.0689655,0.0648821,0.0676473,0.0750011,0.0678613,0.0667272,0.0620379,0.0612753,0.0639347,1
"77",77,"EVERS.5.5",2,"EVERS.5",5,"EVERS",0.822134,0.7303,0.488276,0.407393,0.416045,0.440428,0.44304,0.442614,0.463751,0.475899,0.487518,0.0592885,0.0599334,0.0711724,0.0676864,0.0714844,0.069489,0.0656014,0.0628185,0.0620734,0.0668496,0.0658981,1
"78",78,"EVERS.6.6",1,"EVERS.6",6,"EVERS",0.853755,0.689234,0.485241,0.406756,0.420806,0.430624,0.442531,0.460994,0.474867,0.489368,0.500063,0.0592885,0.0976693,0.0703448,0.0676864,0.0730477,0.0678625,0.0624821,0.0597706,0.0663641,0.0691275,0.067051,1
"79",79,"EVERS.7.7",2,"EVERS.7",7,"EVERS",0.790514,0.594895,0.464828,0.426514,0.423719,0.433425,0.449152,0.481096,0.485488,0.503162,0.512402,0.134387,0.117647,0.0615172,0.0669216,0.0719108,0.06226,0.0596492,0.0590726,0.0677648,0.0677127,0.068124,1
"80",80,"EVERS.8.8",2,"EVERS.8",8,"EVERS",0.873518,0.573807,0.513931,0.427916,0.424003,0.437853,0.459751,0.492822,0.499548,0.508666,0.523383,0.0671937,0.107658,0.0543448,0.0613129,0.0645207,0.0557087,0.0541745,0.0575371,0.064006,0.0659442,0.0654415,1
"81",81,"EVERS.9.9",2,"EVERS.9",9,"EVERS",0.715415,0.540511,0.424828,0.399618,0.423435,0.423124,0.44199,0.45683,0.472509,0.487981,0.497677,0.142292,0.0854606,0.0835862,0.0794136,0.0757479,0.0745493,0.0649967,0.0620274,0.0676584,0.0720844,0.0696536,1
"82",82,"FLOYD.1.1",2,"FLOYD.1",1,"FLOYD",0.885375,0.9101,0.844414,0.7355,0.653663,0.604572,0.56183,0.549266,0.533962,0.523691,0.513875,0,0.0144284,0.0606897,0.150287,0.163078,0.166539,0.166057,0.159419,0.161469,0.158557,0.155802,1
"83",83,"FLOYD.2.2",1,"FLOYD.2",2,"FLOYD",0.928854,0.845727,0.817655,0.736902,0.639878,0.59897,0.551167,0.529932,0.525097,0.516178,0.497974,0,0.017758,0.08,0.13754,0.147659,0.145574,0.144731,0.15344,0.147976,0.147324,0.148702,1
"84",84,"FLOYD.3.3",1,"FLOYD.3",3,"FLOYD",0.881423,0.795782,0.886897,0.790822,0.672209,0.598202,0.548111,0.528931,0.517402,0.500191,0.490337,0,0,0.016,0.101976,0.125773,0.137171,0.143107,0.138782,0.137303,0.141481,0.143257,1
"85",85,"FLOYD.4.4",3,"FLOYD.4",4,"FLOYD",0.782609,0.801332,0.778759,0.717527,0.61721,0.577147,0.531241,0.496545,0.47196,0.473013,0.46648,0.0395257,0.0110988,0.0366897,0.0479286,0.0606836,0.0712059,0.0908744,0.101068,0.104573,0.104738,0.114286,1
"86",86,"FLOYD.5.5",3,"FLOYD.5",5,"FLOYD",0.920949,0.900111,0.760552,0.664627,0.598238,0.552975,0.520387,0.493334,0.467297,0.471513,0.46325,0.0118577,0.0110988,0.0350345,0.054812,0.0654445,0.064022,0.0905879,0.0931807,0.0976756,0.0983291,0.108658,1
"87",87,"FLOYD.6.6",2,"FLOYD.6",6,"FLOYD",0.924901,0.90899,0.677793,0.570554,0.554466,0.51439,0.496833,0.481003,0.471889,0.46301,0.452908,0.0316206,0.0421754,0.0637241,0.0634799,0.0643786,0.0590973,0.0825349,0.0795002,0.0853708,0.0910004,0.100896,1
"88",88,"FLOYD.7.7",3,"FLOYD.7",7,"FLOYD",0.853755,0.775805,0.595034,0.540344,0.518084,0.495279,0.491295,0.476652,0.468715,0.460053,0.447737,0.0592885,0.0610433,0.038069,0.0611855,0.0528672,0.0553472,0.0605086,0.0749866,0.0768426,0.0864306,0.0886365,1
"89",89,"FLOYD.8.8",1,"FLOYD.8",8,"FLOYD",1,0.899001,0.701517,0.602549,0.568536,0.532553,0.510265,0.487867,0.464655,0.467495,0.457725,0,0.0188679,0.0342069,0.0558317,0.0570596,0.058284,0.0776013,0.0822689,0.090619,0.0936885,0.0990583,1
"90",90,"FLOYD.9.9",2,"FLOYD.9",9,"FLOYD",0.679842,0.590455,0.613241,0.573359,0.546365,0.555776,0.516313,0.48198,0.460346,0.455936,0.458387,0.00395257,0.036626,0.0364138,0.0266412,0.0490301,0.0551213,0.0586307,0.0788255,0.0945019,0.0937027,0.0909309,1
"91",91,"GESS.1.1",2,"GESS.1",1,"GESS",0.786561,0.783574,0.81269,0.73805,0.777233,0.781774,0.738422,0.69996,0.681921,0.650854,0.633206,0,0,0,0,0,0.00180726,0.0024509,0.00207068,0.00285456,0.0036785,0.00347012,1
"92",92,"GESS.2.2",3,"GESS.2",2,"GESS",0.952569,0.915649,0.833379,0.778585,0.767214,0.788461,0.750263,0.704683,0.670821,0.652552,0.638879,0,0,0,0,0,0.000180726,0.00155967,0.00188455,0.00228719,0.00336724,0.00334456,1
"93",93,"GESS.3.3",4,"GESS.3",3,"GESS",0.992095,0.930078,0.878069,0.854557,0.784197,0.74721,0.74953,0.712757,0.666336,0.654306,0.641915,0,0,0,0,0,0,0,0.0013727,0.00166664,0.00213636,0.00286513,1
"94",94,"GESS.4.4",3,"GESS.4",4,"GESS",0.841897,0.833518,0.877241,0.85188,0.766645,0.747391,0.734793,0.728043,0.686903,0.659541,0.652189,0,0,0,0,0,0,0,0.00095391,0.00134749,0.00151384,0.00243137,1
"95",95,"GESS.5.5",1,"GESS.5",5,"GESS",0.885375,0.896781,0.922483,0.903123,0.804875,0.71983,0.706083,0.694307,0.667311,0.640045,0.632681,0,0,0,0,0,0,0.000190979,0.000791047,0.0012943,0.00186755,0.00218024,1
"96",96,"GESS.6.6",0,"GESS.6",6,"GESS",0.889328,0.946726,0.912828,0.816189,0.772188,0.721502,0.702295,0.694446,0.696264,0.675245,0.653068,0,0,0,0,0,0,0.000190979,0.000139597,0.000106381,0.000891329,0.00125564,0
"97",97,"GESS.7.7",1,"GESS.7",7,"GESS",0.924901,0.937847,0.837793,0.738432,0.778796,0.730674,0.718019,0.713176,0.705608,0.70306,0.683077,0,0,0,0,0,0,0,0.000139597,0.000106381,0.000495183,0.00089036,1
"98",98,"GESS.8.8",1,"GESS.8",8,"GESS",0.932806,0.957825,0.865931,0.774634,0.765793,0.731758,0.70742,0.693818,0.696105,0.692859,0.669437,0,0,0,0,0,0,9.54897e-05,0.000139597,0.000106381,0.000622515,0.000947435,1
"99",99,"GESS.9.9",2,"GESS.9",9,"GESS",0.936759,0.945616,0.843862,0.761122,0.785263,0.725071,0.71525,0.715665,0.707204,0.690299,0.670658,0,0,0,0,0,0,0,0.000139597,0.000106381,0.000778144,0.001073,1
"100",100,"GRAHAM.1.1",1,"GRAHAM.1",1,"GRAHAM",0.632411,0.473918,0.438069,0.447164,0.471257,0.491122,0.498934,0.498468,0.49785,0.498617,0.513818,0.256917,0.412875,0.304276,0.196813,0.160662,0.135092,0.135213,0.135595,0.131591,0.126385,0.119718,1
